№,Название района[2]/,Название cоответствующего,Адми-,Пло-,Насе-,Плот-,Пло-,Жил-
,поселения[3][4],внутригородского,нистра-,щадь-,ление,ность,щадь,площадь
,,муниципального образования:,тивный,[6][7],2019[8]-,насе-,жилого,на
,,муниципального округа / поселения /,округ,км?,чел.,ления,фонда,чело-
,,городского округа[5],,,,2019,(01.01.,века
,,,,,,чел. / км?,2010)[9]-,(01.01.
,,,,,,,тыс. м?,2010)-
,,,,,,,,м?/чел.
112,Хорошёвский,Хорошёвский,САО,9-88,?72 676,7355.87,2182,38-2
113,Царицыно,Царицыно,ЮАО,8-43,?129 138,15318.86,1836-9,14-9
114,Черёмушки,Черёмушки,ЮЗАО,5-52,?110 753,20063.95,1656-7,16-3
115,Чертаново Северное,Чертаново Северное,ЮАО,5-4,?114 548,21212.59,1899-5,17-2
116,Чертаново Центральное,Чертаново Центральное,ЮАО,6-52,?117 092,17958.9,2907,26
117,Чертаново Южное,Чертаново Южное,ЮАО,9-38,?151 726,16175.48,2192-8,15-4
118,Щукино,Щукино,СЗАО,7-69,?111 203,14460.73,2062,20-1
119,Южное Бутово,Южное Бутово,ЮЗАО,25-54,?210 676,8248.86,4195,23-4
120,Южное Медведково,Южное Медведково,СВАО,3-88,?85 698,22087.11,1355-3,16-3
121,Южное Тушино,Южное Тушино,СЗАО,7-94,?109 218,13755.42,1714-9,16-9
122,Южнопортовый,Южнопортовый,ЮВАО,4-53,?74 729,16496.47,1449,20-6
123,Якиманка,Якиманка,ЦАО,4-8,?27 672,5765,788-7,29-8
124,Ярославский,Ярославский,СВАО,7-99,?98 108,12278.85,1404-5,15-3
125,Ясенево,Ясенево,ЮЗАО,25-37,?177 901,7012.26,2969-3,16-4
126,Внуковское- поселение[Прим. 1],Внуковское- поселение,НАО,25-6,?7815,305.27,,
127,Вороновское- поселение[Прим. 2],Вороновское- поселение,ТАО,206-26,?8891,43.11,,
128,Воскресенское- поселение[Прим. 3],Воскресенское- поселение,НАО,24-77,?9822,396.53,,
129,Десёновское- поселение[Прим. 4],Десёновское- поселение,НАО,52-96,?22 413,423.21,,
130,Киевский- поселение[Прим. 5],Киевский- поселение,ТАО,56-5,?13 968,247.22,,
131,Клёновское- поселение[Прим. 6],Клёновское- поселение,ТАО,58-3,?4116,70.6,,
132,Кокошкино- поселение[Прим. 7],Кокошкино- поселение,НАО,8-28,?19 045,2300.12,,
133,Краснопахорское- поселение[Прим. 8],Краснопахорское- поселение,ТАО,87-78,?4901,55.83,,
134,Марушкинское- поселение[Прим. 9],Марушкинское- поселение,НАО,50-63,?7082,139.88,,
