Name,AdmArea,District,Address,PublicPhone,SeatsCount,Longitude_WGS84,Latitude_WGS84
Кафе Рай,Северный административный округ,Тимирязевский район,"Локомотивный проезд, дом 6, строение 1",(966) 017-10-10,60,37.3428375744080000,55.5044558456020000
Доктор Живаго,Центральный административный округ,Тверской район,"Моховая улица, дом 15/1, строение 1",(499) 922-01-00,90,37.6134132324214220,55.7567020751887630
Ресторан «Хайт»,Центральный административный округ,Пресненский район,"улица 1905 Года, дом 2, строение 1",(495) 150-06-55,105,37.5599948949300710,55.7554697465465310
Кулинарная студия Юлии Высоцкой,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(495) 255-06-55,40,37.6173399913988360,55.7572664203530270
Ресторан Макдоналдс,Центральный административный округ,Мещанский район,"Театральный проезд, дом 5, строение 1",(495) 755-66-00,60,37.6248670072101560,55.7601616050110850
Jamies italian,Центральный административный округ,Тверской район,"улица Охотный Ряд, дом 2",(968) 544-92-35,180,37.6173399913988360,55.7572664203530270
Турандот,Центральный административный округ,Тверской район,"Тверской бульвар, дом 26, строение 3",(495) 739-00-11,150,37.6046280000000000,55.7633360000000000
Ресторан «НАШЕ ВРЕМЯ»,Западный административный округ,район Раменки,"Мичуринский проспект, дом 27",(495) 225-05-02,100,37.5002169999999990,55.6974629999999990
KFC,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 2",нет телефона,50,37.4369030000000000,55.6350350000000000
Тим Групп,Центральный административный округ,район Арбат,"улица Арбат, дом 10",(495) 980-70-10,100,37.5961573150041350,55.7514385754226610
Бургер Рус,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 2",(967) 271-89-89,30,37.4369030000000000,55.6350350000000000
Ресторан «Boushon»,Центральный административный округ,Пресненский район,"Малая Бронная улица, дом 2, строение 1",(495) 982-50-02,60,37.5987116816129470,55.7590365074774400
Уголок Вкуса,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 4",(915) 235-85-72,390,37.4347210000000000,55.6373370000000000
Рестрона Золотая Роща,Северо-Восточный административный округ,район Отрадное,"улица Бестужевых, дом 14",(903) 969-55-75,150,37.6106550918628000,55.8708518107960000
Фаст Фуд Сити,Северо-Восточный административный округ,район Бибирево,"улица Пришвина, дом 22",(495) 912-68-00,40,37.6021792261315330,55.8855636329587140
Итальянский Ресторан,Юго-Западный административный округ,Обручевский район,"Профсоюзная улица, дом 64",(903) 130-79-67,25,37.5473762807690010,55.6664278529386390
Аспект,Новомосковский административный округ,поселение Московский,"Киевское шоссе, 22-й километр, домовладение 4, строение 2",(903) 669-76-00,80,37.4369030000000000,55.6350350000000000
ИЛЬЯ МУРОМЕЦ,Северный административный округ,район Беговой,"Ленинградский проспект, дом 23",(499) 250-47-73,95,37.5692880000000000,55.7831440000000000
Ресторан «Варшавский»,Южный административный округ,Нагорный район,"Варшавское шоссе, дом 34",(499) 611-79-97,170,37.6234802436620510,55.6802904585068460
Айсбан гриль,Южный административный округ,Нагорный район,"Варшавское шоссе, дом 82",(926) 820-99-31,90,37.6187952944184120,55.6517667625278350
Агатсервис,Восточный административный округ,район Сокольники,"Сокольническая площадь, дом 9",(499) 269-33-35,100,37.6803549753243000,55.7904713421826000
РЕСТОРАН «Джон Мартин»,Западный административный округ,район Раменки,"Мичуринский проспект, дом 22, корпус 1",(499) 270-58-00,160,37.5035119514756000,55.7011808234988000
Примавера,Юго-Западный административный округ,Гагаринский район,"улица Дмитрия Ульянова, дом 5",(499) 968-56-88,86,37.5613862667554000,55.6919724316080000
Иппон Дуэлло,Юго-Восточный административный округ,Южнопортовый район,"Шарикоподшипниковская улица, дом 36/18",(495) 675-67-48,70,37.6764550434175000,55.7152343422832000
Опять 25,Юго-Восточный административный округ,Южнопортовый район,"Волгоградский проспект, дом 26, строение 1",(495) 543-05-25,120,37.6808485017843000,55.7263167721571000
Чайна Таун,Северный административный округ,район Сокол,"Ленинградское шоссе, дом 3, строение 1",(499) 960-80-88,60,37.5053787898513000,55.8088645724664000
Ресторан «ФИШ»,Северный административный округ,Головинский район,"Ленинградское шоссе, дом 80, строение 1",(495) 601-94-32,80,37.4764963613570000,55.8472059498630000
Ресторан «Кружка»,Северный административный округ,Головинский район,"Кронштадтский бульвар, дом 9",(495) 452-79-20,70,37.4897357450534000,55.8413931394244000
"Ресторан «Остерия Пицца,паста»",Северный административный округ,район Аэропорт,"Ленинградский проспект, дом 48",(495) 612-55-19,50,37.5432887302417000,55.7962103435861000
Столичные рестораны суши Сокольники,Восточный административный округ,район Сокольники,"Русаковская улица, дом 31",(495) 983-06-65,50,37.6784889999999990,55.7885309999999990
Ресторан Старая Бетти,Северо-Восточный административный округ,Бутырский район,"Бутырская улица, дом 46, строение 3",(916) 990-14-92,95,37.5842460619030000,55.8000368814778000
Кофемания,Центральный административный округ,район Якиманка,"улица Большая Полянка, дом 2, строение 2",(499) 940-19-84,65,37.6156415317334000,55.7417728870720000
Ресторан Маки-Маки,Северо-Восточный административный округ,Останкинский район,"улица Академика Королёва, дом 8А",(495) 785-96-62,100,37.6231596696638000,55.8222934367661000
РЕСТАМАР,Северо-Восточный административный округ,район Марьина Роща,"Шереметьевская улица, дом 6, корпус 1",(906) 738-95-90,177,37.6170177453354100,55.7954289769710600
Ресторан Чайхона № 1,Северо-Восточный административный округ,район Свиблово,"проспект Мира, дом 211, корпус 2",(495) 665-14-44,218,37.6660856233646000,55.8456037489920000
Ресторан «Арвена»,Центральный административный округ,Мещанский район,"проспект Мира, дом 28",(903) 522-17-74,90,37.6334297670843000,55.7779594842714000
